N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8830522867887904,0.8638285619171808,0.8668397217034726,0.4892601431980907,0.7707498017804683,0.588441189903074
model_2,500,2,1,0.8779570544704598,0.8670687873456318,0.8670021521119818,0.4970167064439141,0.7825329701310565,0.6021545727880758
model_3,500,3,1,0.8475069756156739,0.8069918670248909,0.8191222204594406,0.38424821002386633,0.4674192929616586,0.3942271105129262
model_4,500,1,2,0.9056168870556837,0.8902546871421202,0.8908181335955171,0.5668257756563246,0.8230751766075431,0.6546065455235994
model_5,500,2,2,0.9249059808322213,0.9214110778351955,0.9208428318172234,0.6891408114558473,0.9021230328094496,0.778048701757644
model_6,500,3,2,0.9156860366371466,0.9116538922595598,0.909412616902742,0.6318615751789977,0.8810947563646828,0.7322516696222512
model_7,800,1,2,0.9153220914715516,0.9091838622757509,0.907780622182554,0.6437947494033412,0.8582023771418666,0.7206085825932601
model_8,800,2,2,0.923450200169841,0.9234741499111232,0.9203666111626893,0.6897374701670644,0.8961155576836237,0.7748782227153608
model_9,800,3,2,0.9333980346961058,0.9300516432724367,0.9296968261616435,0.7261336515513126,0.9324364597817371,0.8134163323573178
